transaction_id,customer_id,customer_name,region,product,invoice_date,shipment_date,recognition_date,quantity,sales_amount,cost_amount,return_amount,customer_tenure_days,risk_score,risk_level,risk_reasons,cutoff,post_period_return,high_value,negative_sale,margin_outlier,new_customer,date_mismatch,amount,suggested_procedure,sample_id,selection_basis,journal_id,posting_datetime,debit_account,credit_account,currency,source,user_id,user_role,is_reversal,description,period_end,weekend,late_night,round_amount,manual,management_user,rare_account_pair,reversal
INV003988,C0301,Customer 0301,East China,Robot arm,2025-12-30,2026-01-04,2025-12-30,10,9222929.27,7009426.24,0,1939,50,High,cutoff; high value; date mismatch,True,False,True,False,False,False,True,9222929.27,"Inspect contract, invoice and proof of delivery; test cut-off",S-001,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV011964,C0127,Customer 0127,North China,Robot arm,2025-12-30,2026-01-04,2025-12-30,9,7728979.82,5874024.66,0,494,50,High,cutoff; high value; date mismatch,True,False,True,False,False,False,True,7728979.82,"Inspect contract, invoice and proof of delivery; test cut-off",S-002,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV007187,C0159,Customer 0159,Export,Production cell,2025-12-29,2025-12-29,2025-12-30,9,6580138.89,5198309.72,4634650.94,2667,40,High,cutoff; post period return,True,True,False,False,False,False,False,6580138.89,"Inspect contract, invoice and proof of delivery; test cut-off",S-003,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV010536,C0170,Customer 0170,North China,Robot arm,2025-12-29,2025-12-29,2025-12-29,11,2040755.98,1550974.54,1681935.0,2940,40,High,cutoff; post period return,True,True,False,False,False,False,False,2040755.98,"Inspect contract, invoice and proof of delivery; test cut-off",S-004,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV007931,C0338,Customer 0338,West China,Industrial sensor,2025-12-31,2025-12-31,2025-12-31,12,107538.95,70975.71,82546.31,2598,40,High,cutoff; post period return,True,True,False,False,False,False,False,107538.95,"Inspect contract, invoice and proof of delivery; test cut-off",S-005,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV005571,C0146,Customer 0146,West China,Production cell,2025-12-31,2026-01-01,2026-01-02,11,7727543.57,6104759.42,0,486,37,High,cutoff; high value,True,False,True,False,False,False,False,7727543.57,"Inspect contract, invoice and proof of delivery; test cut-off",S-006,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV006762,C0093,Customer 0093,Central China,Production cell,2025-12-28,2025-12-28,2025-12-28,12,7683439.34,6069917.08,0,2105,37,High,cutoff; high value,True,False,True,False,False,False,False,7683439.34,"Inspect contract, invoice and proof of delivery; test cut-off",S-007,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV009970,C0258,Customer 0258,East China,Inspection camera,2025-12-30,2026-01-04,2025-12-30,12,2409320.12,1541964.88,0,2740,35,High,cutoff; date mismatch,True,False,False,False,False,False,True,2409320.12,"Inspect contract, invoice and proof of delivery; test cut-off",S-008,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV000997,C0043,Customer 0043,Export,Servo drive,2025-12-30,2026-01-04,2025-12-30,11,1518434.45,1093272.8,0,1001,35,High,cutoff; date mismatch,True,False,False,False,False,False,True,1518434.45,"Inspect contract, invoice and proof of delivery; test cut-off",S-009,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV005982,C0335,Customer 0335,East China,Servo drive,2025-12-30,2026-01-04,2025-12-30,7,920171.68,662523.61,0,1070,35,High,cutoff; date mismatch,True,False,False,False,False,False,True,920171.68,"Inspect contract, invoice and proof of delivery; test cut-off",S-010,Targeted: highest risk,,,,,,,,,,,,,,,,,,
INV006979,C0143,Customer 0143,Central China,Servo drive,2025-12-30,2026-01-04,2025-12-30,6,774284.75,557485.02,0,105,35,High,cutoff; date mismatch,True,False,False,False,False,False,True,774284.75,"Inspect contract, invoice and proof of delivery; test cut-off",S-011,Targeted: highest risk,,,,,,,,,,,,,,,,,,
