transaction_id,customer_id,customer_name,region,product,invoice_date,shipment_date,recognition_date,quantity,sales_amount,cost_amount,return_amount,customer_tenure_days,risk_score,risk_level,risk_reasons,cutoff,post_period_return,high_value,negative_sale,margin_outlier,new_customer,date_mismatch,amount,suggested_procedure
INV000001,C0248,Customer 0248,West China,Industrial sensor,2025-09-29,2025-09-29,2025-09-29,8,73703.38,48644.23,0,278,0,Low,,False,False,False,False,False,False,False,73703.38,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000002,C0072,Customer 0072,Central China,Control module,2025-05-31,2025-05-31,2025-05-31,9,137965.31,96575.72,0,982,0,Low,,False,False,False,False,False,False,False,137965.31,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000003,C0267,Customer 0267,West China,Robot arm,2025-03-27,2025-03-27,2025-03-27,2,375734.82,285558.46,0,920,0,Low,,False,False,False,False,False,False,False,375734.82,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000004,C0235,Customer 0235,Central China,Industrial sensor,2025-07-27,2025-07-27,2025-07-28,2,18039.9,11906.34,0,1431,0,Low,,False,False,False,False,False,False,False,18039.9,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000005,C0126,Customer 0126,North China,Industrial sensor,2025-04-11,2025-04-11,2025-04-11,5,44732.13,29523.2,0,211,0,Low,,False,False,False,False,False,False,False,44732.13,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000006,C0044,Customer 0044,North China,Control module,2025-05-11,2025-05-13,2025-05-13,1,15088.5,10561.95,0,1864,0,Low,,False,False,False,False,False,False,False,15088.5,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000007,C0282,Customer 0282,Export,Industrial sensor,2025-12-08,2025-12-10,2025-12-11,6,55397.09,36562.08,0,1005,0,Low,,False,False,False,False,False,False,False,55397.09,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000008,C0264,Customer 0264,Export,Industrial sensor,2025-11-19,2025-11-19,2025-11-19,4,35227.98,23250.47,0,271,0,Low,,False,False,False,False,False,False,False,35227.98,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000009,C0087,Customer 0087,Export,Industrial sensor,2025-11-30,2025-11-30,2025-11-30,5,40967.65,27038.65,0,2599,0,Low,,False,False,False,False,False,False,False,40967.65,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
INV000010,C0133,Customer 0133,East China,Production cell,2025-02-06,2025-02-07,2025-02-07,12,8220747.48,6494390.51,0,560,15,Medium,high value,False,False,True,False,False,False,False,8220747.48,"Vouch transaction to contract, invoice, dispatch evidence and cash receipt"
